DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,APIACÁS,Amazônia,15,0.0,1.0,-9.34661,-57.68428,655.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.90621,-57.18428,14.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.90606,-57.11806,38.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.90002,-57.21072,39.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.882,-57.21333,181.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.88068,-57.20408,73.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.85742,-57.1697,43.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.85348,-57.14199,20.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.85237,-57.19885,624.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84974,-57.18034,51.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84843,-57.17107,1060.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84712,-57.16181,180.8
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84468,-57.20946,35.6
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84337,-57.20021,126.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84206,-57.19094,68.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.84075,-57.18167,99.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.83944,-57.17241,167.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.83813,-57.16316,34.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.82154,-57.56296,19.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.77152,-57.73279,97.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.77016,-57.7232,28.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.76236,-57.7341,153.3
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.761,-57.7245,25.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-10.71898,-57.69111,10.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.01959,-57.64361,17.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.01822,-57.63378,254.5
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.01686,-57.62401,28.1
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.01036,-57.64495,11.2
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.009,-57.63511,67.7
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.00764,-57.62534,18.4
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazônia,85,0.0,1.0,-12.00113,-57.64627,13.9
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Amazônia,14,0.0,1.0,-11.74537,-58.25177,50.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Amazônia,26,0.0,1.0,-11.73731,-58.26347,81.0
2024/08/28 18:06:00,AQUA_M-T,Brasil,MATO GROSSO,BRASNORTE,Amazônia,15,0.0,1.0,-11.73589,-58.25314,115.5
